,age,note_rate,wam,coupon,agency,curr_bal,maturity_date,term
31418D7J5,11.0,2.068,167.0,1.5,UMBS,3797524987.0,2036-12-01,178.0
31418D7F3,11.0,3.246,347.0,2.5,UMBS,9671755675.0,2051-12-01,358.0
31418D7E6,11.0,2.853,347.0,2.0,UMBS,13233562854.0,2051-12-01,358.0
31418D6G2,12.0,2.454,165.0,2.0,UMBS,1354547548.0,2036-11-01,177.0
31418D6F4,12.0,2.054,166.0,1.5,UMBS,3771179068.0,2036-11-01,178.0
31418D6C1,12.0,3.218,345.0,2.5,UMBS,10510819361.0,2051-11-01,357.0
31418D6B3,12.0,2.834,346.0,2.0,UMBS,17871296938.0,2051-11-01,358.0
31418D5C2,13.0,2.484,164.0,2.0,UMBS,1656733756.0,2036-10-01,177.0
31418D5B4,13.0,2.036,165.0,1.5,UMBS,3985522784.0,2036-10-01,178.0
31418D4Y5,13.0,3.28,344.0,2.5,UMBS,9017301994.0,2051-10-01,357.0
31418D4X7,13.0,2.842,345.0,2.0,UMBS,16238011201.0,2051-10-01,358.0
31418D4C3,14.0,2.532,163.0,2.0,UMBS,2117464555.0,2036-09-01,177.0
31418D4B5,14.0,2.109,164.0,1.5,UMBS,2524489247.0,2036-09-01,178.0
31418D3Y6,14.0,3.303,343.0,2.5,UMBS,11615676106.0,2051-09-01,357.0
31418D3X8,14.0,2.884,343.0,2.0,UMBS,12265312679.0,2051-09-01,357.0
31418D3M2,15.0,2.504,162.0,2.0,UMBS,1533760606.0,2036-08-01,177.0
31418D3L4,15.0,2.118,163.0,1.5,UMBS,1975735700.0,2036-08-01,178.0
31418D3H3,15.0,3.31,342.0,2.5,UMBS,9994852656.0,2051-08-01,357.0
31418D3G5,15.0,2.912,342.0,2.0,UMBS,9664169932.0,2051-08-01,357.0
31418D2R2,16.0,2.539,161.0,2.0,UMBS,2471732866.0,2036-07-01,177.0
31418D2Q4,16.0,2.128,162.0,1.5,UMBS,2050971919.0,2036-07-01,178.0
31418D2M3,16.0,3.301,341.0,2.5,UMBS,15338709407.0,2051-07-01,357.0
31418D2L5,16.0,2.896,341.0,2.0,UMBS,15067654105.0,2051-07-01,357.0
31418CZH0,51.0,4.746,300.0,4.0,UMBS,91860586.6,2048-08-01,351.0
31418CZ98,51.0,4.749,302.0,4.0,UMBS,324132946.5,2048-09-01,353.0
31418CYL2,53.0,4.318,299.0,3.5,UMBS,78166122.14,2048-07-01,352.0
31418CVE1,56.0,3.421,115.0,3.0,UMBS,97882342.74,2033-03-01,171.0
31418CUA0,57.0,4.026,293.0,3.5,UMBS,100177069.3,2048-02-01,350.0
31418CU77,56.0,3.966,294.0,3.5,UMBS,176022315.9,2048-03-01,350.0
31418C6A7,46.0,5.307,307.0,4.5,UMBS,115988171.1,2049-01-01,353.0
31418C4W1,47.0,4.748,305.0,4.0,UMBS,436696842.3,2048-12-01,352.0
31418C4F8,49.0,4.717,304.0,4.0,UMBS,254423646.3,2048-11-01,353.0
31418C3D4,49.0,4.782,303.0,4.0,UMBS,339167950.2,2048-10-01,352.0
3140XFHK0,9.0,3.371,350.0,2.5,UMBS,87687799.84,2052-01-01,359.0
3140XFG62,11.0,2.587,165.0,2.0,UMBS,96745415.74,2036-12-01,176.0
